question_id,question_id,question_text,correct_answer_text,main_area,sub_area,topic,subtopic,source_exam,question_type
25,,Cuál de las siguientes condiciones causa hipocalcemia?,Agenesia paratiroidea,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Osteoporosis,Examenes 2018/UROLOGIA;residentado,regular
26,,La obesidad mórbida aumenta significativamente el riesgo de:,Hipertensión arterial.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DEL APARATO CARDIOVASCULAR,Hipertensión arterial,residentado,regular
27,,"Mujer de 46 años, obesa y diabética con tratamiento irregular. Ocho días antes de su ingreso presenta polidipsia, poliuria, cefalea, dolor abdominal difuso y deterioro del sensorio. No déficit motor. ¿Cuál es el diagnóstico más probable?",Cetoacidosis diabética,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,Examenes 2023/PRUEBA B;residentado,regular
28,,"En un diabético, la combinación de hiperglicemia (> 300 mg/dL) y ausencia tanto de lipólisis como de cetonuria describen un estado:",Hiperosmolar.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
29,,¿Cuál de las siguientes alternativas es la más adecuada para el diagnóstico definitivo de un nódulo tiroideo?,Punción y aspiración con aguja fina.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Nódulos tiroideos,residentado,regular
30,,"Mujer de 40 años, que acude a consulta externa por nerviosismo, adelgazamiento, hiperfagia, intolerancia al calor; al examen físico: piel caliente, suave e hiperhidrosis. La hormona que está incrementada es de naturaleza:",Amina.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Hipertiroidismo,Examenes 2022/Especialidad Prueba A;residentado,regular
31,,En una paciente con diagnóstico de enfermedad de Graves Basedow. ¿Cuál de los siguientes exámenes confirma el diagnóstico?,Anticuerpos antireceptor de TSH.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Hipertiroidismo,Examenes 2018/PEDIATRIA;residentado,regular
32,,¿Cuál es la operación de elección en una paciente con enfermedad de Graves-Basedow severa?,Tiroidectomia total.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Hipertiroidismo,residentado,regular
33,,Varón de 35 años de edad que acude a emergencia con crisis hipertensivas a repetición. En una oportunidad presentó dolor abdominal por lo cual le solicitaron una TAC abdominal encontrándose una tumoración sobre el riñón izquierdo. ¿Qué examen se solicita para precisar el diagnóstico?,Metanefrinas urinarias,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DEL APARATO CARDIOVASCULAR,Hipertensión arterial,Examenes 2017/prueba a;residentado,regular
34,,"El diagnóstico de Diabetes mellitus se realiza cuando por lo menos dos veces, el valor de la glicemia (mg/dL) en ayunas es igual o mayor a:",126,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,Examenes 2024/NEUROCIRUGÍA;residentado,regular
35,,"En la Diabetes Mellitus 1 o 2, la hiperglicemia en ayunas se produce principalmente por...",Gluconeogénesis hepática aumentada.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
36,,¿Cuál es la prueba que se utiliza para confirmar el diagnóstico de diabetes mellitus tipo 2?,Hemoglobina glicosilada mayor de 6.5%.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
37,,"Las manifestaciones clínicas (náuseas, vómitos, dolor abdominal, polidipsia y poliuria en diabético) diagnostican:",Cetoacidosis diabética.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
38,,"En un paciente que presenta obesidad central, cara de luna llena, hipertensión arterial, intolerancia a la glucosa, acné e hirsutismo ¿Qué prueba diagnóstica precisa y económica solicita?",Cortisol libre en orina de 24 horas,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Obesidad,residentado,regular
39,,"El aumento de tamaño de la tiroides acompañada de dolor con síntomas sistémicos de inflamación y tirotoxicosis transitoria que suele preceder a un hipotiroidismo transitorio, corresponde a:",Tiroiditis subaguda.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Tiroiditis,residentado,regular
40,,"Una mujer de 18 años de edad de baja estatura, con cuello corto, linfedema de las extremidades inferiores, malformaciones óseas, pecho ancho con los pezones muy separados y ausencia de maduración sexual. Acude preocupada porque no ha menstruado nunca. Se trataría de un sindrome de:",Turner.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Patologías gonadales,residentado,regular
41,,"Mujer de 35 años procedente de Lima, con tumoración nodular tiroidea, indolora de crecimiento lento. TSH normal, anticuerpos antitiroideos negativos. ¿Cuál es el diagnóstico más probable?",Carcinoma papilar.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Nódulos tiroideos,residentado,regular
42,,"Mujer de 29 años, llega a emergencia con 300 mg/dL de glucosa, pH < 7.35, bicarbonato: 24 mEq/L y osmolaridad: 285 mosm/L. ¿Cuántas horas después de aplicar insulina cristalina subcutánea se obtiene su máximo efecto?",2,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
43,,"Mujer de 49 años, con intolerancia al frio, ha ganado 4 kg de peso y se siente lenta. Al Examen: piel seca, gruesa y alopecia. Tiroides no palpable. TSH: 11,7 mU/L, T4: 2,1 ug/dL. Desde hace 2 años, presenta Anticuerpos antitiroglobulina y antimicrosomal altos. ¿Cuál es la enfermedad más probable?",Tiroiditis de Hashimoto.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Tiroiditis,residentado,regular
44,,El síndrome de Kallman se caracteriza por presentar amenorrea...,Primaria que acompaña al hipogonadismo hipogonadotrófico,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Patologías gonadales,Examenes 2023/NEUROCIRUGIA;residentado,regular
45,,¿Cuál es el patrón hormonal más frecuente en el síndrome del eutiroideo enfermo?,T3 baja.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Hipotiroidismo,residentado,regular
46,,"Mujer de 70 años llega en coma. Examen: deshidratación severa; PA: 90/50, urea 56 mg%, creatinina 3 mg%, glucosa 900 mg%, sodio 157 mEq/L, bicarbonato 16 mEq/L, PH 7.3; orina: no cuerpos cetónicos. ¿Cuál es el tipo de coma más probable?",Hiperosmolar.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
47,,¿Cuáles son las características clínicas del síndrome de Cushing?,Obesidad central o centrípeta y plétora facial.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Obesidad,Examenes 2022/Cirugía General;residentado,regular
48,,¿Cuál es la principal causa de amenorrea primaria?,Síndrome de Turner.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Patologías gonadales,Examenes 2018/GINECOLOGIA Y OBSTETRICIA;residentado,regular
49,,"Mujer de 40 años que presenta astenia, debilidad, nauseas y vómitos desde hace un mes. Al examen: hipotensión y coloración oscura de la piel. El examen de laboratorio muestra hiponatremia. ¿Cuál es el diagnóstico más probable?",Enfermedad de Addison.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Enfermedad de Addison,residentado,regular
50,,¿Cuál de las siguientes enfermedades endocrinas NO aumenta el riesgo de osteoporosis?,Diabetes mellitus tipo 1.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
51,,"Factores de riesgo de la osteoporosis, EXCEPTO:",Obesidad,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Osteoporosis,residentado,regular
52,,A mujer de 55 años se le halla un nódulo tiroideo y una adenopatía cervical indolora. Esta asintomática. En su historia destaca radiación cervical en la infancia y exceso de ingesta yódica. Tipo de tumor tiroideo:,Carcinoma papilar.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Nódulos tiroideos,Examenes 2023/ANATOMIA PATOLOGICA;residentado,regular
53,,¿Cuál es la variedad de cáncer de tiroides que tiene mejor pronóstico?,Papilar,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Nódulos tiroideos,residentado,regular
54,,"Un paciente portador de un nódulo tiroideo. En el estudio citológico por PAAF: ""cuerpos de Psammoma"". Este hallazgo es definitorio del diagnóstico de:",Carcinoma papilar,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Nódulos tiroideos,residentado,regular
55,,"Varón de 28 años, padece episodios de cefalea, diaforesis y palpitaciones desde hace 6 meses. Niega uso de drogas y de historia familiar de HTA. PA 180/150. Resto del examen normal. ¿Cuál es la presunción diagnostica?",Feocromocitoma.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DEL APARATO CARDIOVASCULAR,Hipertensión arterial,residentado,regular
56,,"Para descartar un feocromocitoma, se pide inicialmente:",Catecolaminas libres y metanefrinas en orina de 24 horas.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Enfermedad de Addison,residentado,regular
57,,"¿Qué enfermedad sospecha en una mujer adulta con calambres, cierta rigidez muscular, dolores osteomusculares difusos, sindrome del túnel del carpo, bajo apetito, aumento de peso, trastornos del sueño y anemia?",Hipotiroidismo,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Hipotiroidismo,residentado,regular
58,,"Varón de 67 años, marcada debilidad, fatiga, intolerancia al frío, edema periorbitario y piel seca por 2 años, T4 4.5 mg/100 ml (N 5.0-12.0) y TSH 47 mU/ml (N 0.5-5.0). Historia médica no relevante salvo una angina que mejoró en el último año. Inicia tratamiento de restitución con:",L-tiroxina 25 ug/día,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Hipotiroidismo,residentado,regular
59,,Signo más sugerente de hipotiroidismo primario:,Reflejo osteotendinoso lentificado.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Hipotiroidismo,residentado,regular
60,,"Mujer de 50 años refiere cansancio, fatiga, aumento de peso y estreñimiento. FC: 62 x min, FR 20 x min, fascies inexpresiva, pálida, piel seca y áspera, abdomen distendido. Neurológico: bradipsiquia, reflejo aquiliano: hiporreflexia. Diagnóstico más probable:",Hipotiroidismo,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Hipotiroidismo,residentado,regular
61,,En el tratamiento de Diabetes Mellitus de tipo II. ¿Cuál de los siguientes fármacos disminuye la producción hepática de glucosa y produce pérdida de peso?,Metformina.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,Examenes 2017/prueba a;residentado,regular
62,,"Mujer de 65 años padece enfermedad de Graves, presenta bocio difuso de pequeño tamaño con nódulo de 2 cm no funcionante asociado. ¿Cuál de las siguientes indica tratamiento quirúrgico de entrada?",La presencia de un nódulo no funcionante,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Nódulos tiroideos,residentado,regular
63,,Situación en que puede producirse una hipocalcemia:,Malabsorción intestinal,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Desnutrición y avitaminosis,residentado,regular
64,,"Mujer de 38 años, consulta por incremento de peso. Su glicemia en ayunas es de 112 mg/dL y la postprandial a las dos horas de 150 mg/dL. Indice de masa corporal: 33. El tratamiento recomendado es:",Dieta y bajar de peso.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Obesidad,residentado,regular
65,,"Mujer con talla de 1.60 m y pesa 100,3 kg. Su diagnóstico es obesidad de tipo:",Moderada.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Obesidad,residentado,regular
66,,"Las personas obesas corren un mayor riesgo de todos los trastornos siguientes, EXCEPTO:",Hipotiroidismo,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Obesidad,residentado,regular
67,,Uno de los siguientes NO se presenta en la obesidad nutricional infantil:,Hipoinsulinismo,CLÍNICO MÉDICAS,PEDIATRÍA,PROBLEMAS DE SALUD DEL NIÑO Y DEL ADOLESCENTE,Obesidad,residentado,regular
68,,Sobre la obesidad es FALSO:,Existe una correlación directa entre la obesidad y la osteoporosis,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Obesidad,residentado,regular
70,,Las necesidades de insulina en un paciente diabético disminuyen con:,Ejercicio,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
71,,La mejor prueba para inferir la efectividad del control de la Diabetes Mellitus es el dosaje de:,Hemoglobina glicosilada.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
72,,La prueba de hemoglobina glicosilada muestra el control de la glicemia en:,3 meses anteriores.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
73,,"Una mujer obesa de 55 años de edad presenta un cuadro de prurito vulvar, perdida reciente de peso a pesar del aumento del apetito y necesidad de levantarse frecuentemente en la noche a orinar. ¿Cuál de los siguientes diagnósticos es el mas probable?",DM.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,Examenes - 2019/UROLOGÍA;residentado,regular
74,,"Varón de 68 años, diabético e hipertenso, en tratamiento con verapamil e hidroclorotiazida, no usa hipoglicemiantes orales ni insulina. Ingresa en estado confusional agudo. ¿Cuál hallazgo de laboratorio explica su estado clínico?",Sodio sérico de 115 mEq/L.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS RENALES,Alteraciones del equilibrio hidroelectrolítico,residentado,regular
75,,¿Cuál fármaco sería el de elección en un paciente con hipertensión arterial y diabetes?,Inhibidor de la ECA,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DEL APARATO CARDIOVASCULAR,Hipertensión arterial,residentado,regular
76,,"La realización de un cribaje para la DM está indicada en estas situaciones, EXCEPTO:",Adultos mayores de 40 años,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
77,,Contraindicado en el embarazo de la mujer diabética:,Sulfonilureas,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
78,,¿Cuál es la meta que debemos proponernos en el control de una diabética embarazada?,Glucemias no superiores a 140 mg/dl,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
79,,Una mujer que padece Diabetes Mellitus no insulinodependiente que no responde a la dieta y tiene insuficiencia renal; se le indica esta sulfonilurea:,Gliquidona.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
80,,"En la diabetes mellitus tipo Il se suele dar lo siguiente, EXCEPTO:",Aparición brusca de síntomas.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
81,,Mecanismo de acción de los inhibidores alfa-glucosidasa en el tratamiento de la DM tipo 2:,"Inhibición de la sucrasa, maltasa y glucosinasa.",CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
82,,Un varón asintomático presenta en 2 análisis de sangre glucemias basales de 132 y 130 mg/dl. ¿cuál es la actitud correcta?,Se le diagnóstica diabetes mellitus tipo 2 y se le inicia tratamiento con dieta.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
83,,"Varón de 23 años, diabético tipo 1, llega por dolor abdominal y vómitos. Glicemia mayor de 300 mg/dL, pH 7,2 bicarbonato 12 mEq/L y potasio en 3.5 mEq/L, cetonuria ++. La medida inicial es:",Hidratación,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
84,,¿En qué momento ocurre el efecto pico de la insulina LISPRO?,A los 30 minutos.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
85,,"Para el ajuste de la dosis de insulina a dar a un paciente con DMID, el mejor parámetro a valorar es:",Perfil glucémico (4 a 6 determinaciones antes y/o después de las principales comidas),CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
86,,"En diabético insulinodependiente, que presenta de forma repetida glucemias de 200 mg/dl antes del desayuno, ¿qué es correcto afirmar?","Si se trata de un fenómeno de Somogyi, se debe reducir la dosis de insulina de la cena",CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
87,,"Diabética de 42 años, presenta cuadro de sopor. Glucosa en sangre: 350 mg/dL. Se confirma diagnóstico de cetoacidosis por:","Dolor abdominal, respiración de Kussmaul y cetonuria.",CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
88,,"Diabético de 16 años, presenta cetoacidosis; glucemia 600 mg/dl y pH 7,15. Las medidas incluyen perfusión IV de insulina. Criterio para suspender la perfusión:",La corrección de la acidosis,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
89,,Uno de los siguientes hallazgos NO es de presentación necesaria en la cetoacidosis diabética:,Hiperpotasemia.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
90,,"Anciana de 70 años sin antecedente de DM es llevada a emergencia por presentar estado mental alterado, cuadro de deshidratación severa, el familiar solo informa que días antes presentó polidipsia, poliuria. El diagnóstico planteado sería:",Coma hiperosmolar no cetosico.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
91,,"Paciente de 15 años presenta náuseas, vómitos, boca seca y somnolencia. PA 60/40 mmHg. IMC: 17 kg/m2. Glucemia 450 mg/dl, pH 7.15, HCO3 12 mEq/K. La terapia indicada comprende fluidos más:",Insulina cristalina por infusión,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
92,,"Un diabético con disminuido nivel de conciencia, presenta una glucemia de 350 mg/dl, Na+ 150 mEq/I, K+ 3.1 mEq/I, HCO3 12 mEq/l, pH 7.14, y cetonuria. Medida más inadecuada:",Administración de expansores plasmáticos,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
